product_id,category,domain_name,tld,domain_age_days,rdap_age_score,dns_status,dns_redirect_hops,dns_health_score,tld_risk_score,composite_trust_score,risk_category,split
PRD-000001,electronics,brandshop.fun,.fun,89,12.19,redirect,4,0,55,17.1,high,test
PRD-000002,electronics,topbrands.cf,.cf,277,37.95,active,1,100,42,57.37,medium,train
PRD-000003,electronics,buydirect.shop,.shop,341,46.71,active,1,100,82,69.76,medium,train
PRD-000004,electronics,1mg.com,.com,2849,100.0,active,1,100,90,98.0,low,train
PRD-000005,electronics,cromaretail.com,.com,841,100.0,active,1,100,90,98.0,low,train
PRD-000006,electronics,buynow365.store,.store,301,41.23,active,1,100,82,67.02,medium,train
PRD-000007,electronics,netmeds.com,.com,396,54.25,active,1,100,90,75.12,low,test
PRD-000008,electronics,dealzone.info,.info,93,12.74,active,1,100,75,51.37,medium,train
PRD-000009,electronics,shopfast.vip,.vip,221,30.27,active,2,50,50,40.14,medium,train
PRD-000010,electronics,netmeds.com,.com,581,79.59,active,1,100,90,87.79,low,val
PRD-000011,electronics,shopnow24.io,.io,296,40.55,active,0,100,85,67.27,medium,val
PRD-000012,electronics,purplle.com,.com,2188,100.0,active,1,100,90,98.0,low,train
PRD-000013,electronics,brandshop.io,.io,85,11.64,active,1,100,85,52.82,medium,train
PRD-000014,electronics,discountshop.top,.top,94,12.88,partial,4,0,52,16.84,high,train
PRD-000015,electronics,flipkart.com,.com,2989,100.0,active,0,100,90,98.0,low,val
PRD-000016,electronics,netmeds.com,.com,1490,100.0,active,1,100,90,98.0,low,train
PRD-000017,electronics,flipkart.com,.com,1053,100.0,active,0,100,90,98.0,low,train
PRD-000018,electronics,bestbuys.digital,.digital,237,32.47,active,1,100,78,61.83,medium,train
PRD-000019,electronics,snapdeal.com,.com,2806,100.0,active,0,100,90,98.0,low,test
PRD-000020,electronics,dealspoint.tech,.tech,142,19.45,active,0,100,80,55.73,medium,train
PRD-000021,electronics,myshopindia.online,.online,130,17.81,active,1,100,80,54.9,medium,val
PRD-000022,electronics,flipkart.com,.com,882,100.0,active,1,100,90,98.0,low,train
PRD-000023,electronics,netmeds.com,.com,2627,100.0,active,1,100,90,98.0,low,val
PRD-000024,electronics,originaldeal.cc,.cc,22,3.01,redirect,2,0,55,12.51,high,train
PRD-000025,electronics,suppl-cheap.gq,.gq,249,34.11,active,2,50,40,40.05,medium,train
PRD-000026,electronics,flipkart.com,.com,3386,100.0,active,1,100,90,98.0,low,train
PRD-000027,electronics,cultfit.com,.com,3191,100.0,active,0,100,90,98.0,low,val
PRD-000028,electronics,amazon.in,.in,2829,100.0,active,1,100,88,97.6,low,train
PRD-000029,electronics,bestprice99.tk,.tk,395,54.11,active,2,50,45,51.05,medium,train
PRD-000030,electronics,snapdeal.com,.com,2776,100.0,active,0,100,90,98.0,low,train
PRD-000031,electronics,shopfast.vip,.vip,421,57.67,active,1,100,50,68.84,medium,train
PRD-000032,electronics,indiabuys.co,.co,213,29.18,active,2,50,85,46.59,medium,train
PRD-000033,electronics,flipkart.com,.com,2736,100.0,active,1,100,90,98.0,low,val
PRD-000034,electronics,topdeals.co,.co,79,10.82,active,1,100,85,52.41,medium,train
