product_id,category,domain_name,tld,domain_age_days,rdap_age_score,dns_status,dns_redirect_hops,dns_health_score,tld_risk_score,composite_trust_score,risk_category,split
PRD-000002,electronics,topbrands.cf,.cf,277,37.95,active,1,100,42,57.37,medium,train
PRD-000003,electronics,buydirect.shop,.shop,341,46.71,active,1,100,82,69.76,medium,train
PRD-000004,electronics,1mg.com,.com,2849,100.0,active,1,100,90,98.0,low,train
PRD-000005,electronics,cromaretail.com,.com,841,100.0,active,1,100,90,98.0,low,train
PRD-000006,electronics,buynow365.store,.store,301,41.23,active,1,100,82,67.02,medium,train
PRD-000008,electronics,dealzone.info,.info,93,12.74,active,1,100,75,51.37,medium,train
PRD-000009,electronics,shopfast.vip,.vip,221,30.27,active,2,50,50,40.14,medium,train
PRD-000012,electronics,purplle.com,.com,2188,100.0,active,1,100,90,98.0,low,train
PRD-000013,electronics,brandshop.io,.io,85,11.64,active,1,100,85,52.82,medium,train
PRD-000014,electronics,discountshop.top,.top,94,12.88,partial,4,0,52,16.84,high,train
PRD-000016,electronics,netmeds.com,.com,1490,100.0,active,1,100,90,98.0,low,train
PRD-000017,electronics,flipkart.com,.com,1053,100.0,active,0,100,90,98.0,low,train
PRD-000018,electronics,bestbuys.digital,.digital,237,32.47,active,1,100,78,61.83,medium,train
PRD-000020,electronics,dealspoint.tech,.tech,142,19.45,active,0,100,80,55.73,medium,train
PRD-000022,electronics,flipkart.com,.com,882,100.0,active,1,100,90,98.0,low,train
PRD-000024,electronics,originaldeal.cc,.cc,22,3.01,redirect,2,0,55,12.51,high,train
PRD-000025,electronics,suppl-cheap.gq,.gq,249,34.11,active,2,50,40,40.05,medium,train
PRD-000026,electronics,flipkart.com,.com,3386,100.0,active,1,100,90,98.0,low,train
PRD-000028,electronics,amazon.in,.in,2829,100.0,active,1,100,88,97.6,low,train
PRD-000029,electronics,bestprice99.tk,.tk,395,54.11,active,2,50,45,51.05,medium,train
PRD-000030,electronics,snapdeal.com,.com,2776,100.0,active,0,100,90,98.0,low,train
PRD-000031,electronics,shopfast.vip,.vip,421,57.67,active,1,100,50,68.84,medium,train
PRD-000032,electronics,indiabuys.co,.co,213,29.18,active,2,50,85,46.59,medium,train
PRD-000034,electronics,topdeals.co,.co,79,10.82,active,1,100,85,52.41,medium,train
PRD-000035,electronics,topbrands.cf,.cf,24,3.29,partial,3,0,42,10.04,high,train
PRD-000037,electronics,buybest.biz,.biz,202,27.67,active,0,100,72,58.24,medium,train
PRD-000038,electronics,meesho.com,.com,3730,100.0,active,1,100,90,98.0,low,train
PRD-000040,electronics,buynow365.store,.store,171,23.42,active,2,50,82,43.11,medium,train
PRD-000044,electronics,mybrand.site,.site,240,32.88,active,2,50,65,44.44,medium,train
PRD-000045,electronics,originaldeal.cc,.cc,498,68.22,active,2,50,55,60.11,medium,train
PRD-000047,electronics,snapdeal.com,.com,1225,100.0,active,1,100,90,98.0,low,train
PRD-000048,electronics,flipkart.com,.com,3715,100.0,active,1,100,90,98.0,low,train
PRD-000050,electronics,priceburn.xyz,.xyz,479,65.62,active,2,50,50,57.81,medium,train
PRD-000051,electronics,fastdeal.pw,.pw,53,7.26,partial,3,0,42,12.03,high,train
PRD-000052,electronics,flipkart.com,.com,2019,100.0,active,1,100,90,98.0,low,train
PRD-000053,electronics,shopfast.vip,.vip,94,12.88,redirect,2,0,50,16.44,high,train
PRD-000056,electronics,netmeds.com,.com,2569,100.0,active,1,100,90,98.0,low,train
PRD-000058,electronics,ecommerce.shop,.shop,273,37.4,active,0,100,82,65.1,medium,train
PRD-000059,electronics,flipkart.com,.com,2607,100.0,active,0,100,90,98.0,low,train
PRD-000060,electronics,tatacliq.com,.com,3927,100.0,active,1,100,90,98.0,low,train
