price_record_id,product_id,category,scrape_date,day_index,price_inr,discount_pct,seller_id,availability,z_score,z_flag,iqr_flag,anomaly_label,split
PHR-0000027,PRC-00002,electronics,2024-10-01,0,16485.29,0.0,SEL-4532,1,1.275,0,0,0,train
PHR-0000028,PRC-00002,electronics,2024-10-02,1,16170.43,0.0,SEL-3957,1,-0.4667,0,0,0,train
PHR-0000029,PRC-00002,electronics,2024-10-03,2,16028.28,0.0,SEL-1720,1,-1.2531,0,0,0,train
PHR-0000030,PRC-00002,electronics,2024-10-04,3,16319.04,0.0,SEL-4532,1,0.3553,0,0,0,train
PHR-0000031,PRC-00002,electronics,2024-10-05,4,16006.21,0.0,SEL-3957,1,-1.3752,0,0,0,train
PHR-0000032,PRC-00002,electronics,2024-10-06,5,16165.66,0.0,SEL-1720,1,-0.4931,0,0,0,train
PHR-0000033,PRC-00002,electronics,2024-10-07,6,16551.52,0.0,SEL-4532,1,1.6413,0,0,0,train
PHR-0000034,PRC-00002,electronics,2024-10-08,7,16575.6,0.0,SEL-3957,1,1.7745,0,0,0,train
PHR-0000035,PRC-00002,electronics,2024-10-09,8,16430.39,0.0,SEL-1720,1,0.9713,0,0,0,train
PHR-0000036,PRC-00002,electronics,2024-10-10,9,16130.58,0.0,SEL-4532,1,-0.6872,0,0,0,train
PHR-0000037,PRC-00002,electronics,2024-10-11,10,16375.49,0.0,SEL-3957,1,0.6676,0,0,0,train
PHR-0000038,PRC-00002,electronics,2024-10-12,11,16387.02,0.0,SEL-1720,1,0.7314,0,0,0,train
PHR-0000039,PRC-00002,electronics,2024-10-13,12,16180.56,0.0,SEL-4532,1,-0.4107,0,0,0,train
PHR-0000040,PRC-00002,electronics,2024-10-14,13,16345.08,0.0,SEL-3957,1,0.4994,0,0,0,train
PHR-0000041,PRC-00002,electronics,2024-10-15,14,15935.38,0.0,SEL-1720,1,-1.767,0,0,0,train
PHR-0000042,PRC-00002,electronics,2024-10-16,15,16064.33,0.0,SEL-4532,1,-1.0537,0,0,0,train
PHR-0000043,PRC-00002,electronics,2024-10-17,16,16269.79,0.0,SEL-3957,1,0.0829,0,0,0,train
PHR-0000044,PRC-00002,electronics,2024-10-18,17,16034.87,0.0,SEL-1720,1,-1.2166,0,0,0,train
PHR-0000045,PRC-00002,electronics,2024-10-19,18,16036.27,0.0,SEL-4532,1,-1.2089,0,0,0,train
PHR-0000046,PRC-00002,electronics,2024-10-20,19,16472.12,0.0,SEL-3957,1,1.2021,0,0,0,train
PHR-0000047,PRC-00002,electronics,2024-10-21,20,16571.48,0.0,SEL-1720,1,1.7518,0,0,0,train
PHR-0000048,PRC-00002,electronics,2024-10-22,21,16289.87,0.0,SEL-4532,1,0.194,0,0,0,train
PHR-0000049,PRC-00002,electronics,2024-10-23,22,16473.92,0.0,SEL-3957,1,1.2121,0,0,0,train
PHR-0000050,PRC-00002,electronics,2024-10-24,23,16572.26,0.0,SEL-1720,1,1.7561,0,0,0,train
