product_id,category,product_name,seller_name,seller_verified,seller_rating,listing_age_days,price_inr,category_median_price,price_z_score,img_reverse_match_rate,criteria_met,authenticity_label,split
PRD-000001,electronics,realme narzo 60 Pro,Myntra Fashion,1,4.5,881,14601.87,18000,-0.629,0.902,1,authentic,test
PRD-000002,electronics,JBL Flip 6 Portable Speaker,Croma Retail,1,4.5,387,24343.15,18000,1.175,0.808,0,authentic,train
PRD-000003,electronics,Xiaomi 14 Civi,Appario Retail,1,4.2,1078,20890.47,18000,0.535,0.94,0,authentic,train
PRD-000004,electronics,Logitech MX Master 3S,Snapdeal Direct,1,4.3,1440,14012.5,18000,-0.738,0.835,0,authentic,train
PRD-000005,electronics,Zebronics Zeb-Sound Bomb X1,Meesho Official,1,4.4,1747,18993.8,18000,0.184,0.807,0,authentic,train
PRD-000006,electronics,boAt Nirvana Ion TWS,QuickBazaar,1,4.7,547,23242.33,18000,0.971,0.827,0,authentic,train
PRD-000007,electronics,Mi 360 Security Camera,Nykaa Fashion Official,1,4.4,807,15135.1,18000,-0.531,0.898,0,authentic,test
PRD-000008,electronics,JBL Flip 6 Portable Speaker,Myntra Fashion,1,4.7,1257,18869.31,18000,0.161,0.926,0,authentic,train
PRD-000009,electronics,TP-Link Archer AX3000,Snapdeal Direct,1,4.6,943,20926.2,18000,0.542,0.922,0,authentic,train
PRD-000010,electronics,Samsung Galaxy M34 5G Smartphone,QuickBazaar,1,4.3,887,23484.82,18000,1.016,0.818,0,authentic,val
PRD-000011,electronics,vivo V30 Pro 5G,GNC India,1,4.7,655,22671.61,18000,0.865,0.862,0,authentic,val
PRD-000012,electronics,OnePlus Nord CE4 Lite 5G,QuickBazaar,1,4.2,216,18903.96,18000,0.167,0.909,0,authentic,train
PRD-000013,electronics,Motorola Edge 50 Fusion,Reliance Digital Online,1,4.5,1308,17027.69,18000,-0.18,0.81,0,authentic,train
PRD-000014,electronics,iQOO Z9x 5G Smartphone,QuickBazaar,1,4.9,1738,16610.68,18000,-0.257,0.903,1,authentic,train
PRD-000015,electronics,JBL Flip 6 Portable Speaker,TataCliq Direct,1,4.3,308,18832.58,18000,0.154,0.962,0,authentic,val
PRD-000016,electronics,Mi 360 Security Camera,Vijay Sales,1,4.3,930,21917.72,18000,0.726,0.92,0,authentic,train
PRD-000017,electronics,Motorola Edge 50 Fusion,Vijay Sales,1,4.7,1198,13986.89,18000,-0.743,0.821,0,authentic,train
PRD-000018,electronics,Ugreen 100W 4-Port Charger,FlipkartRetail,1,4.2,463,24323.91,18000,1.171,0.749,0,authentic,train
PRD-000019,electronics,vivo V30 Pro 5G,Cloudtail India,1,5.0,857,14467.94,18000,-0.654,0.927,0,authentic,test
PRD-000020,electronics,Anker Q45 Headphones,GNC India,1,4.6,1058,17379.36,18000,-0.115,0.777,0,authentic,train
PRD-000021,electronics,boAt Rockerz 450 Headphones,Nykaa Fashion Official,1,4.9,1059,14770.34,18000,-0.598,0.861,0,authentic,val
PRD-000022,electronics,D-Link Eagle Pro AX3200,Paytm Mall,1,4.8,699,16193.5,18000,-0.335,0.966,0,authentic,train
PRD-000023,electronics,Anker PowerCore 20100,Meesho Official,1,4.8,925,24648.92,18000,1.231,0.792,0,authentic,val
